"reference","lng","lat""orders"
pup464,28.242059,-25.718537,891
pup2846,28.3121372,-25.8240748,278
pup218,17.944625,-32.998197,1148
pup2420,29.19634,-26.52035,139
pup1461,29.2646703,-25.8873585,2312
pup1734,28.2399042,-26.1809108,231
pup1389,28.0725122,-25.9837088,2389
pup1606,31.0463816,-29.6417977,649
pup523,18.674446,-33.815442,2187
pup4101,26.164177,-26.166601,6
pup4165,28.1811563,-26.3432752,98
pup2242,21.2559732,-28.44379,892
pup1494,27.8929247,-26.1136463,2556
pup4175,27.7382055,-32.9349442,636
pup2265,26.2229897,-29.1167741,725
pup589,17.707299,-19.258468,1
pup574,23.435675,-27.456741,6853
pup3517,27.8217133,-26.708217,40
pup3998,30.3129413,-23.889526,224
pup885,31.021193,-29.860074,2651
pup4183,28.4166277,-26.1537607,783
pup290,26.687436,-25.65083,462
pup3749,27.8366697,-26.0605073,759
pup3693,31.2008148,-29.5251018,292
pup1833,30.6613318,-26.6237842,500
pup3717,22.503857,-33.986553,120
pup1471,29.4491198,-23.904574,2005
pup3489,28.1179101,-26.2870695,281
pup2236,19.2058373,-34.4157719,575
pup2147,31.141599,-26.327708,4
pup3272,31.0623863,-29.7537933,2079
pup2736,29.4549113,-25.8065892,536
pup4718,30.2941924,-23.6840319,2
pup1869,18.8515667,-34.0848129,67
pup4634,18.483864,-34.021657,59
pup1178,28.0737813,-26.1599451,382
pup4553,28.187733,-26.252736,105
pup4627,24.7395587,-26.9597669,5
pup1623,25.6397472,-25.857053,4050
pup4859,25.6487484,-33.9777559,
pup4690,18.4153088,-33.9154453,118
pup2011,25.56995,-33.93264,1731
pup3663,18.475446,-33.7857272,4
pup1074,28.243034,-25.659309,1672
pup1647,25.5054418,-28.124839,125
pup1849,23.1227523,-33.6589498,68
pup3045,26.22095,-29.115835,22266
pup2447,28.7464,-25.81098,55
pup106,26.875174,-33.598197,918
pup3267,30.8967262,-30.0339762,677
pup524,18.684968,-33.833114,2696
pup4249,26.7332313,-27.9777047,231
pup398,18.46292,-34.046119,1069
pup4091,30.803546,-27.005914,20
pup1009,28.3013021,-25.8176892,2073
pup3222,18.645425,-33.9528,1406
pup3841,29.8875511,-27.3521967,3
pup3113,30.8130564,-29.7478984,525
pup3138,30.0316309,-22.3562292,1353
pup2279,22.2054232,-33.5891924,916
pup501,19.428653,-34.227965,2486
pup2471,29.7176,-26.15878,138
pup4192,30.813826,-29.748642,80
pup4605,24.7640044,-27.5520064,245
pup1906,29.1303954,-28.288192,185
pup3576,28.1933,-25.7749,165
pup2806,28.0181965,-26.0528493,279
pup4703,18.634739,-33.901798,6
pup2503,27.8354,-26.69758,11
pup1015,25.5059117,-34.0041505,2162
pup2723,30.8971094,-30.0331961,799
pup2353,19.4321237,-33.6312386,448
pup806,30.95076,-24.353127,2177
pup4054,18.86,-33.935214,617
pup2075,30.8996791,-30.0332828,1816
pup2514,23.04417992,-27.69911003,80
pup4726,28.049325,-26.127598,
pup4237,29.7440395,-24.8710612,72
pup4343,28.046246,-26.2683331,461
pup3525,18.5103267,-33.8930226,85
pup3783,28.110294,-25.6726006,2580
pup1863,29.8551277,-24.7555273,752
pup3550,18.8526713,-34.0909855,307
pup2795,28.0501859,-26.109349,406
pup603,30.917478,-29.835765,5860
pup2226,22.5016951,-33.9881368,906
pup2441,26.70825,-30.69038,894
pup2323,28.3088532,-28.23263,1560
pup2091,22.2258831,-34.0536874,887
pup655,28.276094,-25.782716,2273
pup3770,27.9465378,-26.0611093,1829
pup1128,18.8606872,-33.9351356,2622
pup1799,27.7706218,-26.1017571,64
pup2788,30.3768667,-29.5849515,739
pup768,31.287929,-29.346516,4977
pup3794,28.4213895,-25.7041112,676
pup1465,30.1561175,-23.8228028,1235
pup2515,24.76424,-28.74418,326
pup4404,27.0942472,-26.7103288,2
pup370,28.305373,-28.228585,800
pup641,28.123028,-26.188364,2210
pup1148,18.8543951,-34.1462496,867
pup1075,28.040514,-26.143111,457
pup1386,26.3624929,-27.8546184,468
pup3000,30.9793,-25.468,1343
pup3031,28.126787,-25.9967576,949
pup4034,22.498915,-33.983376,
pup2448,30.32192,-24.66578,5
pup714,27.958941,-26.087342,3575
pup2073,18.484616,-33.9884048,3335
pup3856,18.6208865,-34.050784,63
